org_id,label,classification
2365,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
2366,PETI,COMMITTEE_PARLIAMENTARY_STANDING
24,RELA,COMMITTEE_PARLIAMENTARY_STANDING
2416,AFET,COMMITTEE_PARLIAMENTARY_STANDING
2417,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
2418,INTA,COMMITTEE_PARLIAMENTARY_STANDING
2419,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
2420,CONT,COMMITTEE_PARLIAMENTARY_STANDING
2421,ECON,COMMITTEE_PARLIAMENTARY_STANDING
2422,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
2423,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
2424,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
2425,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
2426,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
2427,REGI,COMMITTEE_PARLIAMENTARY_STANDING
2428,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
2429,PECH,COMMITTEE_PARLIAMENTARY_STANDING
2430,CULT,COMMITTEE_PARLIAMENTARY_STANDING
2431,JURI,COMMITTEE_PARLIAMENTARY_STANDING
2432,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
2433,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
2434,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
2435,PETI,COMMITTEE_PARLIAMENTARY_STANDING
25,JURI,COMMITTEE_PARLIAMENTARY_STANDING
26,ASOC,COMMITTEE_PARLIAMENTARY_STANDING
27,REGI,COMMITTEE_PARLIAMENTARY_STANDING
28,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
2856,AFET,COMMITTEE_PARLIAMENTARY_STANDING
2857,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
2859,INTA,COMMITTEE_PARLIAMENTARY_STANDING
2860,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
2861,CONT,COMMITTEE_PARLIAMENTARY_STANDING
2862,ECON,COMMITTEE_PARLIAMENTARY_STANDING
2863,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
2865,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
2866,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
2867,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
2868,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
2869,REGI,COMMITTEE_PARLIAMENTARY_STANDING
2870,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
2871,PECH,COMMITTEE_PARLIAMENTARY_STANDING
2872,CULT,COMMITTEE_PARLIAMENTARY_STANDING
2874,JURI,COMMITTEE_PARLIAMENTARY_STANDING
2875,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
2876,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
2877,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
2878,PETI,COMMITTEE_PARLIAMENTARY_STANDING
29,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
3,JEUN,COMMITTEE_PARLIAMENTARY_STANDING
30,JEUN,COMMITTEE_PARLIAMENTARY_STANDING
31,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
32,CONT,COMMITTEE_PARLIAMENTARY_STANDING
33,INST,COMMITTEE_PARLIAMENTARY_STANDING
34,REGL,COMMITTEE_PARLIAMENTARY_STANDING
35,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
36,PETI,COMMITTEE_PARLIAMENTARY_STANDING
37,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
3744,AFET,COMMITTEE_PARLIAMENTARY_STANDING
3745,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
3746,INTA,COMMITTEE_PARLIAMENTARY_STANDING
3747,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
3748,CONT,COMMITTEE_PARLIAMENTARY_STANDING
3749,ECON,COMMITTEE_PARLIAMENTARY_STANDING
3750,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
3751,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
3752,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
3753,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
3754,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
3755,REGI,COMMITTEE_PARLIAMENTARY_STANDING
3756,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
3757,PECH,COMMITTEE_PARLIAMENTARY_STANDING
3758,CULT,COMMITTEE_PARLIAMENTARY_STANDING
3759,JURI,COMMITTEE_PARLIAMENTARY_STANDING
